Country,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,"Government expenditure on education, total (% of GDP)",4.714680195,4.739490032,4.924270153,,4.408899784,4.680759907,,4.799180031,4.915589809,5.924670219,6.712490082,6.036870003,6.549059868,6.808060169,6.162930012,6.479060173,6.143219948,
Afghanistan,"Government expenditure on education, total (% of GDP)",,,,,,,,,,,3.461960077,3.437849998,2.524410009,3.434370041,3.673899889,3.242019892,4.205249786,3.926749945
Angola,"Government expenditure on education, total (% of GDP)",2.607530117,,,,,2.776200056,2.859689951,,,,3.474109888,,,,,,,
Albania,"Government expenditure on education, total (% of GDP)",3.286920071,3.340600014,3.05663991,3.06427002,3.170079947,3.23871994,3.157190084,3.268680096,,,,,,3.539299965,,3.437969923,3.954639912,
Andorra,"Government expenditure on education, total (% of GDP)",,,1.681529999,,1.522690058,1.596529961,2.189889908,2.070970058,2.930069923,3.154839993,3.057420015,3.14508009,,2.438070059,2.997809887,3.253679991,3.256700039,3.195559978
Arab World,"Government expenditure on education, total (% of GDP)",,,,,4.6707201,,,,4.282284975,,,,,,,,,
United Arab Emirates,"Government expenditure on education, total (% of GDP)",,,,,,,,,,,,,,,,,,
Argentina,"Government expenditure on education, total (% of GDP)",4.580309868,4.833740234,4.017340183,3.535049915,3.486520052,3.860009909,4.128210068,4.462600231,4.844409943,5.531050205,5.019710064,5.290629864,5.345829964,5.436610222,5.361440182,5.776110172,5.572179794,
Armenia,"Government expenditure on education, total (% of GDP)",2.772730112,2.469439983,2.135040045,2.145040035,2.486730099,2.712029934,2.715770006,3.018939972,3.172729969,3.840790033,3.249000072,3.143850088,2.772480011,2.650180101,2.247240067,2.80591011,2.75812006,
American Samoa,"Government expenditure on education, total (% of GDP)",,,,,,,14.62928009,,,,,,,,,,,
Antigua and Barbuda,"Government expenditure on education, total (% of GDP)",,,3.394279957,,,,,,,2.517240047,,,,,,,,
Australia,"Government expenditure on education, total (% of GDP)",4.893690109,,,,,4.91573,4.753590107,4.667109966,4.643970013,5.093269825,5.559169769,5.083129883,4.877649784,5.23800993,5.173679829,5.321750164,,
Austria,"Government expenditure on education, total (% of GDP)",5.588809967,5.575479984,5.522130013,5.361830235,5.302430153,5.249370098,5.226520061,5.146900177,5.263959885,5.730249882,5.700479984,5.592269897,5.480400085,5.547110081,5.448979855,5.453040123,,
Azerbaijan,"Government expenditure on education, total (% of GDP)",3.853990078,3.503420115,3.154489994,3.286149979,3.447659969,2.974620104,2.555520058,2.549279928,2.44092989,3.224309921,2.780620098,2.435640097,2.067630053,2.442130089,2.633039951,2.951679945,2.903409958,
Burundi,"Government expenditure on education, total (% of GDP)",2.645479918,2.903909922,3.004930019,,3.74496007,3.631690025,,,5.19355011,6.319789886,6.792870045,5.99778986,5.820909977,5.414750099,5.933909893,6.448810101,4.618130207,4.344069958
Belgium,"Government expenditure on education, total (% of GDP)",,,,,,,,,,,,,,,6.638979912,6.552380085,,
Benin,"Government expenditure on education, total (% of GDP)",2.888689995,3.232350111,2.95133996,3.120270014,3.508039951,3.630789995,3.503279924,3.229809999,3.795660019,4.222040176,5.029319763,,4.868159771,4.547319889,4.321129799,4.356430054,3.994689941,
Burkina Faso,"Government expenditure on education, total (% of GDP)",,,,,,4.432600021,4.478759766,4.588580132,,,3.938960075,4.483260155,4.053530216,4.593840122,4.559939861,4.166069984,,
Bangladesh,"Government expenditure on education, total (% of GDP)",2.125080109,2.171930075,2.017149925,2.069390059,1.940140009,,2.131289959,2.202219963,2.05456996,1.939419985,,2.132699966,2.175499916,1.966160059,,,1.535539985,
Bulgaria,"Government expenditure on education, total (% of GDP)",,3.410180092,3.41237998,4.029379845,2.33781004,4.141059875,3.932019949,3.682110071,4.224370003,4.285749912,3.863460064,3.563030005,3.502029896,4.061970234,,,,
Bahrain,"Government expenditure on education, total (% of GDP)",,,,,,,2.874360085,2.575000048,2.496779919,,,,2.645309925,2.476880074,2.467459917,2.668080091,,2.335489988
"Bahamas, The","Government expenditure on education, total (% of GDP)",2.232840061,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,"Government expenditure on education, total (% of GDP)",,,,,,,,,,,,,,,,,,
Belarus,"Government expenditure on education, total (% of GDP)",6.196619987,,,,5.712259769,5.871029854,6.076960087,5.152100086,,4.516719818,5.220039845,4.684790134,4.959640026,5.009419918,4.818309784,4.787519932,4.946549892,4.820030212
Belize,"Government expenditure on education, total (% of GDP)",5.028429985,5.796929836,,5.206820011,5.299270153,,,,5.687759876,6.100140095,6.620999813,,,6.218060017,6.478660107,6.722519875,7.060450077,7.087409973
Bermuda,"Government expenditure on education, total (% of GDP)",,,,1.666270018,1.775879979,1.988770008,,,,2.615190029,2.6442101,,,,1.782850027,1.689730048,,1.492009997
Bolivia,"Government expenditure on education, total (% of GDP)",5.473420143,5.899459839,6.230309963,6.379039764,,,6.313610077,,7.039730072,8.081199646,7.600110054,6.888470173,6.42524004,6.257929802,7.285349846,,,
Brazil,"Government expenditure on education, total (% of GDP)",3.948930025,3.844680071,3.750370026,,3.974479914,4.4790802,4.870600224,4.974259853,5.268839836,5.463550091,5.648799896,5.737410069,5.855100155,5.838850021,5.948480129,6.24105978,,
Barbados,"Government expenditure on education, total (% of GDP)",4.621510029,5.935090065,5.76335001,6.121359825,5.904069901,5.556960106,,5.184619904,5.086100101,5.313509941,6.097340107,,5.258900166,5.097740173,6.229410172,,5.092720032,4.65651989
Brunei Darussalam,"Government expenditure on education, total (% of GDP)",3.705909967,,,,,,,,,,2.046610117,3.322099924,2.889590025,,3.353189945,,4.425409794,
Bhutan,"Government expenditure on education, total (% of GDP)",5.513790131,5.71780014,,,6.417990208,7.078100204,,,4.797500134,4.626719952,4.024469852,4.652579784,,5.589660168,5.903329849,7.389659882,6.805570126,7.050489902
